Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Kokoro Kikai.,7.33,2259,4367,4491,"4,288",15,1,2,Finished,"Jan  7, 2005 to Apr  11, 2005",[],[],"Yumeka, Sumomo (Story & Art)",3,"[3, 0, 0]"
Mei-chan no Shitsuji,7.33,1850,4368,3412,"5,811",48,20,140,Finished,"May  2, 2006 to Jan  4, 2014","['Comedy', 'Drama', 'Romance']",[],"Miyagi, Riko (Story & Art)",4,"[4, 0, 0]"
Turn A Gundam,7.33,156,4369,20705,543,3,5,30,Finished,"Jun  26, 1999 to Mar  26, 2002","['Action', 'Sci-Fi']",[],"Soga, Atsushi (Art)",1,"[0, 1, 0]"
Megane Ouji (Four-Eyed Prince),7.33,746,4370,8723,"1,981",16,4,12,Finished,"Oct  5, 2007 to Jul  17, 2009","['Comedy', 'Romance']",[],"Mizukami, Wataru (Story & Art)",1,"[1, 0, 0]"
Do You Want to Try?,7.33,3005,4371,3506,"5,617",57,5,18,Finished,Not available,"['Comedy', 'Drama', 'Romance']",[],"Cha, Kyung Hee (Story & Art)",8,"[2, 4, 2]"
Momoiro Heaven! (Peach Heaven),7.33,3390,4372,1822,"10,418",62,13,51,Finished,"Jan  24, 2007 to Dec  10, 2012","['Comedy', 'Drama', 'Romance']",[],"Yoshino, Mari (Story & Art)",7,"[5, 1, 1]"
Mimi wo Sumaseba,7.33,965,4373,7481,"2,414",27,1,4,Finished,"Jul  3, 1989 to Oct  3, 1989","['Romance', 'Slice of Life']",[],"Hiiragi, Aoi (Story & Art)",2,"[2, 0, 0]"
Naked,7.33,364,4374,16640,792,3,1,3,Finished,"2002 to Mar  13, 2003",[],[],"Miyauchi, Saya (Story & Art)",0,"[0, 0, 0]"
Haigakura,7.33,303,4375,8506,"2,047",13,Unknown,Unknown,Publishing,"Jan  16, 2008 to ?",[],[],"Takayama, Shinobu (Story & Art)",1,"[1, 0, 0]"
C-blossom: Case 729,7.33,1349,4376,6191,"3,002",10,2,4,Finished,"Apr  28, 2005 to Oct  28, 2005","['Action', 'Drama', 'Mystery']",[],"Fukui, Harutoshi (Story), Shimotsuki, Kayoko (Art)",3,"[2, 1, 0]"
Oishinbo (Oishinbo: À la Carte),7.33,407,4377,8500,"2,050",33,111,1039,On Hiatus,"Sep  30, 1983 to May  19, 2014","['Award Winning', 'Drama', 'Gourmet', 'Slice of Life']",[],"Kariya, Tetsu (Story), Hanasaki, Akira (Art)",3,"[3, 0, 0]"
Nogizaka Haruka no Himitsu,7.33,225,4378,13648,"1,078",7,16,76,Finished,"Oct  9, 2004 to Jul  10, 2012","['Comedy', 'Romance']",[],"Shaa (Art), Igarashi, Yuusaku (Story)",1,"[1, 0, 0]"
Kabushikigaisha Love Cotton,7.33,308,4379,15526,887,6,6,24,Finished,"Feb  3, 2007 to Dec  29, 2008",[],[],Kashinoki-chan (Story & Art),0,"[0, 0, 0]"
Sarasah,7.33,591,4380,8454,"2,067",29,Unknown,Unknown,Publishing,2007 to ?,"['Comedy', 'Drama', 'Romance']","['Crossdressing', 'Historical']","Ryu, Riang (Story & Art)",2,"[1, 1, 0]"
Love Less,7.33,576,4381,11724,"1,334",47,2,Unknown,Finished,2001 to  2002,[],[],"Arai, Rie (Story & Art)",0,"[0, 0, 0]"
Stardust★Wink,7.33,5299,4382,1294,"14,453",160,11,54,Finished,"Dec  29, 2008 to Apr  3, 2013","['Comedy', 'Drama', 'Romance']","['Harem', 'School']","Haruta, Nana (Story & Art)",11,"[6, 2, 3]"
Ginga Densetsu Weed: Orion,7.33,250,4383,15774,864,24,30,239,Finished,"Jul  24, 2009 to Apr  25, 2014","['Action', 'Adventure', 'Drama']",[],"Takahashi, Yoshihiro (Story & Art)",0,"[0, 0, 0]"
Seikimatsu Leader Den Takeshi!,7.33,195,4384,19404,612,5,25,247,Finished,"Jul  15, 1997 to Aug  13, 2002","['Award Winning', 'Comedy']",[],"Shimabukuro, Mitsutoshi (Story & Art)",0,"[0, 0, 0]"
Ai kara Hajimaru,7.33,4066,4385,2563,"7,638",23,1,5,Finished,"Jun  3, 2009 to Aug  3, 2009",[],[],"Yukimaru, Moe (Story & Art)",1,"[1, 0, 0]"
Ebisu-san to Hotei-san,7.33,2230,4413,4882,"3,922",25,1,5,Finished,"Feb  12, 2009 to Feb  12, 2010","['Drama', 'Girls Love', 'Slice of Life']",[],"Kizuki, Akira (Art), Satou, Nanki (Story)",4,"[3, 1, 0]"
Ookami Lover,7.33,2166,4414,5123,"3,715",8,Unknown,1,Finished,"Jul  18, 2007","['Comedy', 'Romance']",[],"Momoyama, Anzu (Story & Art)",4,"[4, 0, 0]"
Hyakunen Renbo,7.33,1680,4415,5052,"3,777",11,2,9,Finished,2009,"['Fantasy', 'Romance']",[],"Mashiba, Nao (Story & Art)",0,"[0, 0, 0]"
Air Koi,7.33,1834,4416,5096,"3,734",7,1,5,Finished,"Aug  26, 2010","['Drama', 'Romance']",[],"Nanajima, Kana (Story & Art)",3,"[2, 1, 0]"
Usotsuki Lily 0,7.33,958,4417,8641,"2,007",7,1,4,Finished,"Mar  25, 2011",[],[],"Komura, Ayumi (Story & Art)",0,"[0, 0, 0]"
Kimi to Boku no Ashiato: Time Travel Kasuga Kenkyuusho,7.33,185,4418,15505,889,5,6,42,Finished,"Mar  18, 2009 to Jun  22, 2012","['Drama', 'Romance', 'Sci-Fi', 'Supernatural']",[],"Yoshizuki, Kumichi (Story & Art)",0,"[0, 0, 0]"
Maga-Tsuki,7.33,13057,4419,495,"33,722",381,13,69,Finished,"Feb  26, 2011 to Feb  25, 2017","['Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'School']","Taguchi, Hoshino (Story & Art)",15,"[11, 4, 0]"
Waratte! Sotomura-san (Smile! Sotomura-san),7.33,1763,4420,3422,"5,788",44,7,Unknown,Finished,"Jul  4, 2009 to Oct  21, 2017","['Comedy', 'Slice of Life']",[],"Minamori, Minamo (Story & Art)",3,"[2, 1, 0]"
Angel Heart 2nd Season,7.33,158,4421,16830,778,3,16,80,Finished,"Oct  25, 2010 to May  25, 2017","['Action', 'Comedy', 'Drama', 'Romance']",[],"Hojo, Tsukasa (Story & Art)",0,"[0, 0, 0]"
Cocoon,7.33,826,4422,6357,"2,921",16,1,15,Finished,May  2008 to Jul  2010,[],[],"Kyou, Machiko (Story & Art)",1,"[1, 0, 0]"
Hachimitsu ni Hatsukoi,7.33,1469,4423,3428,"5,775",35,12,73,Finished,"May  2, 2012 to Apr  20, 2015",[],[],"Minase, Ai (Story & Art)",0,"[0, 0, 0]"
Wild Wing,7.33,717,4424,11627,"1,351",6,1,3,Finished,"Nov  10, 2011 to ?","['Action', 'Fantasy', 'Romance']",[],"Yumi, Kiiro (Story & Art)",0,"[0, 0, 0]"
Ore ga Doutei wo Sutetara Shinu Ken ni Tsuite (About if I Die of Discarded Virgin),7.33,8834,4425,1020,"17,410",144,4,22,Finished,"May  2, 2012 to Apr  9, 2014","['Drama', 'Mystery', 'Romance', 'Supernatural']","['School', 'Time Travel']","Morita, Marita (Story), Wakabayashi, Yuusuke (Art)",10,"[8, 1, 1]"
Nekoka Danshi no Shitsukekata,7.33,1782,4426,4366,"4,426",19,5,28,Finished,"Sep  18, 2009 to Jun  28, 2014","['Boys Love', 'Comedy', 'Romance', 'Supernatural']",[],"Ukyou, Ayane (Story & Art)",0,"[0, 0, 0]"
