Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Genres,Author,Recommended,Mixed Feelings,Not Recommended,Release date,Completed date
Mugen Densetsu Takamagahara (Dream Saga),7.06,1119,7796,7586,2372,42,5,27,Finished,"['Adventure', 'Comedy', 'Fantasy']",['Tachikawa Megumi'],0,0,1,1995-06-12,2002-07-07
Toumei Shounen (Invisible Boy),7.06,388,7798,13912,1051,2,4,28,Publishing,"['Boys Love', 'Romance']",['Odagiri Hotaru'],0,0,0,2005-09-30,2006-11-30
Utawarerumono,7.06,259,7799,11446,1382,6,2,14,Finished,"['Action', 'Drama', 'Fantasy']","['Aquaplus', 'Shimakusa Arou']",0,0,0,1997-01-25,2023-12-11
Oishii Study (Delicious Study),7.06,925,7800,9719,1731,4,1,3,Finished,"['Comedy', 'Drama', 'Slice of Life']",['Watase Yuu'],1,0,0,2003-12-15,2005-02-21
Ressentiment,7.06,3073,7801,2463,7918,127,4,49,Finished,"['Comedy', 'Sci-Fi', 'Ecchi']",['Hanazawa Kengo'],2,1,3,2004-08-10,2006-02-10
Lodoss-tou Senki: Deedlit Monogatari (Record of Lodoss War: Deedlit's Tale),7.06,628,7803,11173,1427,13,2,12,Finished,"['Adventure', 'Fantasy', 'Romance']","['Yoneyama Setsuko', 'Mizuno Ryou']",0,0,0,2007-03-08,2008-12-25
Blood+: Yakou Joushi (Blood+ Kowloon Nights),7.06,1549,7805,5280,3591,15,1,5,Finished,"['Action', 'Boys Love', 'Horror', 'Mystery', 'Supernatural']",['Kisaragi Hirotaka'],1,1,0,2005-02-05,2006-12-19
Ray,7.06,345,7807,11305,1406,11,8,34,Finished,"['Adventure', 'Drama', 'Mystery', 'Supernatural']",['Yoshitomi Akihito'],0,0,0,2005-09-30,2006-12-28
Love SOS,7.06,1008,7810,7666,2339,11,10,60,Finished,"['Action', 'Drama', 'Romance']",['Hwang Mi Ri'],1,1,1,2004-03-01,2009-05-01
So Bad!,7.06,470,7814,12916,1164,5,6,27,Finished,"['Drama', 'Romance']",['Aihara Miki'],1,0,0,1985-07-04,1991-01-01
Marugoto♥Anju Gakuen,7.06,2011,7821,4772,4023,29,3,20,Finished,"['Comedy', 'Supernatural', 'Ecchi']",['Amatsu Sae'],0,0,2,1999-05-25,2000-09-25
Discommunication: Seirei-hen,7.06,224,7822,15156,922,5,3,17,Finished,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural', 'Ecchi']",['Ueshiba Riichi'],0,0,0,2006-01-04,2008-09-13
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,7.06,129,7824,15471,892,3,2,10,Finished,"['Drama', 'Fantasy', 'Romance']","['Yamada Norie', 'Yoshizuki Kumichi']",0,0,0,2008-04-04,2009-05-02
White Garden,7.06,245,7826,22807,451,0,4,1,Finished,"['Comedy', 'Slice of Life']",['Kong yuu Nan'],1,0,0,2007-06-18,2010-09-18
Flower*Flower,7.06,830,7827,8264,2129,8,2,13,Finished,"['Comedy', 'Fantasy', 'Girls Love', 'Romance', 'Slice of Life']",['Iwami Shouko'],1,0,0,2008-04-25,2023-12-11
Tales of Vesperia: Flynn Seinaru Hakugin no Kishi,7.06,113,7833,19663,597,2,4,3,Finished,"['Action', 'Adventure', 'Fantasy']","['Bandai-Namco', 'Komakura Chiyori']",0,0,0,2002-11-23,2007-03-28
Hamtaro,7.06,166,7835,17515,726,18,5,28,Finished,"['Adventure', 'Comedy']",['Kawai Ritsuko'],0,0,0,1998-02-13,1999-01-13
Loveless,7.06,154,7841,13753,1068,27,2,28,Finished,"['Boys Love', 'Drama', 'Fantasy', 'Mystery']","['Kouga Yun', 'Natsui Aya']",0,0,0,2006-03-01,2007-03-20
Bakegyamon (BakéGyamon),7.06,240,7842,18603,659,8,5,51,Finished,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Tamura Mitsuhisa'],2,0,0,2002-10-25,2005-05-25
Little Forest,7.06,614,7843,6474,2862,40,2,34,Finished,"['Drama', 'Gourmet', 'Slice of Life']",['Igarashi Daisuke'],1,0,0,2006-11-02,2010-09-03
Kanojo wa Kannou Shousetsuka,7.06,2069,7844,2992,6589,19,6,54,Finished,"['Comedy', 'Romance', 'Ecchi']",['Gotou Akira'],3,0,0,2008-03-03,2010-12-01
Shaman King: Flowers,7.06,5519,7846,1409,13430,98,6,29,Finished,"['Action', 'Adventure', 'Comedy', 'Supernatural']",['Takei Hiroyuki'],2,2,0,2009-08-27,2013-07-27
Rival,7.06,214,7848,19121,629,3,14,28,Finished,"['Comedy', 'Romance', 'Sports', 'Ecchi']",['Shibayama Kaoru'],0,0,0,2009-12-05,2010-05-20
Kenshin no Succeed,7.06,146,7685,19224,623,1,12,69,Finished,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Kagami Yuu', 'Mikeou']",0,0,0,2012-10-25,2014-04-25
Lasboss x Hero,7.06,2299,7686,4019,4879,33,4,19,Finished,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Supernatural']",['Kuzushiro'],4,1,0,2010-05-26,2010-11-02
Hammer Session! in High School,7.06,704,7687,11020,1452,0,3,23,Finished,"['Action', 'Comedy', 'Ecchi']","['Tanahashi Namoshiro', 'Yatsu Hiroyuki']",1,0,0,2013-03-18,2014-09-25
Fragtime,7.06,6187,7688,1418,13374,141,2,18,Finished,"['Girls Love', 'Romance', 'Sci-Fi', 'Slice of Life']",['Sato'],6,2,0,2011-10-27,2014-07-24
Saijaku Muhai no Bahamut (Undefeated Bahamut Chronicle),7.06,1623,7693,2806,6999,36,11,46,Finished,"['Action', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']","['Akatsuki Senri', 'Tadaura Fumi', 'Watanabe Itsuki']",0,0,0,2014-04-26,2016-11-26
"Mayonaka no Cross Method (""X"" Method In The Dead Of Night)",7.06,3073,7694,2816,6963,46,4,27,Finished,"['Mystery', 'Supernatural']","['Yamaguchi Mikoto', 'Bareisho']",2,3,0,2012-02-29,2014-11-29
I Hate,7.06,906,7698,8619,2014,4,1,7,Finished,"['Boys Love', 'Drama']",['Natsume Kazuki'],0,0,0,2007-02-26,2009-06-26
Kidou Senshi Gundam: Orera Renpou Gurentai,7.05,131,7921,24872,379,4,5,25,Finished,"['Action', 'Sci-Fi']","['Sono Yoshihiro', 'Craps']",0,0,0,2014-12-01,2015-06-03
Sakasama Cranberry,7.06,306,7699,16159,829,5,2,9,Finished,"['Comedy', 'Romance']",['Karuki Haru'],0,0,0,2011-05-05,2023-12-11
Kageno datte Seishun Shitai,7.05,1204,7907,5182,3659,13,11,46,Finished,"['Comedy', 'Romance']",['Kitagawa Yuka'],2,1,2,2013-03-26,2014-07-26
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation (Danganronpa: The Animation),7.05,3579,7908,1928,9840,148,4,17,Finished,"['Action', 'Horror', 'Mystery']",['Tsukimi Takashi'],0,1,2,2013-11-05,2023-12-11
Billion Dogs,7.05,1562,7910,4734,4055,20,4,70,Finished,"['Action', 'Drama']","['Serizawa Naoki', 'Kaneshiro Muneyuki']",1,3,0,2012-09-25,2013-04-20
Tamachen!!,7.04,474,7911,13003,1154,6,1,4,Finished,"['Comedy', 'Romance']",['Shiwasu Yuki'],0,0,0,2014-02-28,2016-04-30
Yuri Kuma Arashi (Yuri Bear Storm),7.05,741,7912,6956,2628,33,3,27,Finished,"['Drama', 'Fantasy', 'Girls Love']","['Ikuhara Kunihiko', 'Morishima Akiko']",1,0,1,2013-05-27,2017-11-24
Koi Chirakashite,7.05,285,7914,17582,722,0,4,17,Finished,"['Comedy', 'Drama', 'Romance']",['Yoshihara Yuki'],1,0,0,2009-12-24,2023-12-11
Mitsu-aji Blood: Tale 0 (Honey Blood: Tale Zero),7.05,838,7915,9373,1810,3,1,5,Finished,"['Romance', 'Supernatural']",['Mitsuki Miko'],0,0,0,2014-05-02,2017-02-03
Gojikanme no Sensou,7.05,1157,7916,4537,4252,35,4,27,Finished,"['Drama', 'Sci-Fi']",['Yuu'],1,0,0,2014-08-04,2023-12-11
Watari-kun no xx ga Houkai Sunzen (Watari-kun's ****** Is about to Collapse),7.05,8037,7917,596,28689,245,4,28,Publishing,"['Comedy', 'Drama']",['Narumi Naru'],10,2,3,2014-09-13,2015-11-13
Ame no Hi no Iris: Boku no Shukudai,7.05,182,7920,20357,560,1,4,1,Finished,"['Sci-Fi', 'Slice of Life']","['Matsuyama Takeshi', 'Hirasato']",1,0,0,2015-04-30,2023-12-11
Okujou no Yurirei-san Side A: Mou Hitotsu no Yuritopia (Kindred Spirits on the Roof),7.05,799,7922,6728,2729,15,1,4,Finished,"['Girls Love', 'Supernatural']",['Itou Hachi'],0,0,0,2015-08-14,2023-12-11
High☆Speed!,7.05,355,7923,12025,1290,9,2,8,Finished,"['Drama', 'Sports']","['Teshirogi Shiori', 'Ooji Kouji']",0,0,0,2015-03-20,2023-12-11
Gokiburi Buster,7.05,3080,7924,3672,5359,16,4,1,Finished,"['Action', 'Comedy']","['Murata Yusuke', 'ONE']",3,0,0,2011-09-20,2014-01-01
Monster Hunter Epic,7.05,161,7925,17674,715,10,3,16,On Hiatus,"['Action', 'Adventure', 'Fantasy']",['Fuse Ryuuta'],0,0,0,2010-04-28,2012-06-28
Chronos: Deep,7.05,1294,7946,5544,3411,16,3,26,Finished,"['Drama', 'Supernatural']",['Aikawa Yu'],1,0,0,2001-06-28,2004-10-07
Paranoia Street,7.06,580,7770,5785,3238,25,3,29,Finished,"['Comedy', 'Horror', 'Mystery']",['Kago Shintarou'],1,0,0,2010-08-19,2023-12-11
Skyhigh 4,7.05,688,7948,10426,1575,1,1,5,Finished,"['Drama', 'Supernatural']",['Takahashi Tsutomu'],0,0,0,2010-07-28,2013-10-28
Bonba! (Bomba!),7.05,451,7950,14744,959,7,1,28,Finished,"['Horror', 'Romance', 'Supernatural']",['Tezuka Osamu'],1,0,0,2009-04-24,2015-04-10
Sprite,7.05,1400,7951,3358,5916,27,15,135,Finished,"['Horror', 'Mystery', 'Supernatural']",['Ishikawa Yuugo'],0,0,0,2009-12-03,2023-12-11
ST&RS,7.05,1922,7955,3990,4919,27,5,39,Finished,"['Adventure', 'Sci-Fi']","['Miyokawa Masaru', 'Takeuchi Ryousuke']",2,1,0,2011-03-28,2012-12-28
Sengoku Blood: Bara no Keiyaku,7.05,491,7956,9563,1764,4,4,21,Finished,"['Action', 'Drama', 'Romance', 'Supernatural']","['Hiroi Ouji', 'Kosumi Fujiko']",0,0,0,2011-08-18,2014-06-26
Kitakubu Katsudou Kiroku,7.05,174,7957,14439,993,4,5,65,Finished,"['Comedy', 'Slice of Life']",['Kuroha'],0,0,0,2010-12-25,2014-07-30
Under One Roof,7.05,914,7958,7956,2231,5,4,11,Finished,"['Comedy', 'Girls Love', 'Slice of Life']",['Fujio'],0,0,0,2010-11-30,2014-02-28
"Koi to Senkyo to Chocolate (Love, Election & Chocolate.)",7.05,493,7959,6938,2634,7,6,38,Finished,"['Comedy', 'Romance']",['Kanno Touko'],0,0,0,2012-02-04,2015-09-04
Hatsukoi Succubus,7.05,212,7961,16348,814,0,4,28,Publishing,"['Comedy', 'Fantasy', 'Romance']",['Okada Haruki'],0,0,0,2012-04-09,2016-07-09
Sakura Sakura,7.05,830,7963,5155,3693,7,8,40,Finished,"['Comedy', 'Romance', 'Ecchi']",['Morishige'],1,0,0,2012-01-20,2014-09-20
Rising x Rydeen,7.05,152,7964,17503,727,24,9,57,Finished,"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi']","['Hatsumi Youichi', 'Pulp Piroshi']",0,0,0,2012-04-27,2013-06-07
Life x 01,7.05,196,7965,15585,882,2,2,13,Finished,"['Action', 'Romance', 'Supernatural']",['Kabosu'],0,0,0,2012-09-15,2013-10-15
Cross Manage,7.05,1587,7966,4406,4378,20,5,43,Finished,"['Comedy', 'Romance', 'Slice of Life', 'Sports']",['KAITO'],1,1,0,2012-01-27,2014-06-27
Log Horizon Gaiden: Honey Moon Logs,7.05,201,7967,12263,1259,3,4,27,Finished,"['Action', 'Fantasy', 'Sci-Fi']",['Matsu Motoya'],0,0,0,2010-10-13,2011-07-13
Shirayukihime to 7-nin no Shuujin (Snow White & Seven Dwarfs),7.05,583,7970,7876,2258,3,5,42,Finished,"['Action', 'Romance', 'Supernatural']",['Yabuguchi Kuroko'],0,0,0,2012-12-28,2013-12-27
Inu to Hasami wa Tsukaiyou (Dog & Scissors),7.05,121,7972,13626,1082,9,10,79,Finished,"['Comedy', 'Mystery', 'Supernatural']","['Sarai Shunsuke', 'Nabeshima Tetsuhiro']",0,0,0,2012-12-20,2013-11-20
Freezing: Pair Love Stories,7.05,592,7975,8656,2001,12,3,12,Finished,"['Drama', 'Romance', 'Sci-Fi', 'Ecchi']","['Im Dal Young', 'Kim So-Hee']",1,0,0,2012-06-30,2013-10-01
Maou na Ore to Ghoul no Yubiwa,7.05,528,7976,9511,1778,14,5,38,Finished,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']","['Kankitsu Yusura', 'Shugasuku']",1,0,1,2013-02-04,2014-05-02
Saenai Heroine no Sodatekata: Egoistic-Lily,7.05,1574,7977,4478,4304,15,3,15,Finished,"['Drama', 'Romance']","['Neet', 'Maruto Fumiaki']",3,0,0,2011-04-27,2023-12-11
Ore no Imouto ga Konnani Kawaii Wake ga Nai Comic Anthology (Oreimo Comic Anthology),7.05,274,7978,15525,887,6,1,13,Finished,"['Comedy', 'Drama', 'Romance']","['Sasakura Ayato', 'Minazuki Tsuyuha', 'Ikeda Sakura', 'Sasahara Yuuki', 'ReDrop', 'Morishima Petit']",0,0,0,2015-05-25,2019-10-25
Shinwa Densetsu no Eiyuu no Isekaitan (The Mythical Hero's Otherworld Chronicles),7.05,135,7896,15738,867,7,13,91,Finished,"['Action', 'Fantasy']","['Miyuki Ruria', 'Tatematsuri']",0,0,0,2014-09-25,2016-02-25
Suzuki-san wa Tada Shizuka ni Kurashitai (Suzuki Just Wants a Quiet Life),7.06,500,7725,9035,1889,7,3,18,Finished,"['Drama', 'Mystery']",['Sato Hirohisa'],0,0,0,2015-07-13,2023-12-11
Gakkougurashi! Anthology Comic: On,7.05,289,7897,12166,1272,7,1,16,Finished,"['Comedy', 'Slice of Life']","['Kurokiri Misao', 'Manishi Mari', 'Mozu', 'Niimaru Yuu', 'Mekimeki', 'Kayou', 'Fujishiro Hyaku', 'Yakusa', 'Aota Mei', 'Mitsuki', 'kirusu', 'Muku', 'Meno', 'Nekomint', 'Terayama Den', 'Sakasana']",0,0,0,2016-01-27,2023-12-11
Nina-san no Mahou Seikatsu (Daily Life of Sorceress Nina),7.05,327,7898,9248,1837,4,4,28,Publishing,"['Fantasy', 'Slice of Life']",['Takanashi Ringo'],0,0,0,2016-06-13,2017-01-13
ACCA: 13-ku Kansatsu-ka P.S.,7.05,143,7900,19442,610,1,2,11,Finished,"['Drama', 'Fantasy']",['Ono Natsume'],1,0,0,2015-01-05,2015-12-01
Itoshi no Anneli (Dear Annel),7.05,148,7901,24206,401,5,1,12,Finished,"['Boys Love', 'Slice of Life']",['Ishiko'],1,0,0,2017-02-21,2020-05-19
Shikkakumon no Saikyou Kenja: Sekai Saikyou no Kenja ga Sarani Tsuyokunaru Tame ni Tensei Shimashita,7.05,784,7903,5744,3262,23,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Shinkou Shotou', 'Kazabana Huuka']",0,0,0,2015-05-12,2018-04-12
Renjou Desperado (Renjoh Desperado),7.05,685,7904,5171,3670,23,6,36,Finished,"['Action', 'Comedy', 'Romance']",['Ahndongshik'],1,0,0,2020-11-13,2021-02-13
17-21: Fujimoto Tatsuki Tanpenshuu (Tatsuki Fujimoto Before Chainsaw Man: 17–21),7.05,9144,7929,1154,15600,76,1,4,Finished,"['Action', 'Comedy', 'Drama', 'Romance']",['Fujimoto Tatsuki'],6,1,0,2021-12-31,2023-12-11
100-nichigo ni Kekkon suru Futari,7.05,475,7930,15067,930,1,1,28,Finished,"['Comedy', 'Romance']",['Hata Kenjirou'],0,0,0,2021-11-27,2023-12-11
"Isekai Arigatou (Thank You, Isekai!)",7.05,385,7931,8380,2089,13,4,28,Publishing,"['Comedy', 'Fantasy']","['Arai Azuki', 'Zianazu']",0,1,0,2022-05-09,2023-12-11
X & Ash,7.05,173,7932,16794,781,6,4,28,Publishing,"['Action', 'Fantasy']","['Lee Gwang-Su', 'Kim Sehoon']",0,0,0,2022-06-01,2023-12-11
Kanan-sama wa Akumade Choroi,7.05,2542,7933,1773,10726,63,4,28,Publishing,"['Comedy', 'Romance', 'Supernatural']",['nonco'],2,0,2,2019-07-15,2022-01-17
The Antagonist's Pet,7.05,619,7934,10305,1601,8,4,117,Finished,"['Drama', 'Fantasy']","['Harnenn', 'Seobo']",1,0,0,2022-02-24,2023-12-11
My Unexpected Marriage,7.05,403,7935,9340,1818,3,4,28,Publishing,"['Drama', 'Fantasy', 'Romance']","['Ratshu', 'Munmyeongin']",0,1,0,2021-07-31,2023-10-13
I'm All Out of Health!,7.05,376,7936,10495,1560,4,4,94,Finished,"['Fantasy', 'Romance']","['Lee Haron', 'Vanilla']",0,0,0,2021-11-30,2023-10-24
Call Me the Devil,7.05,146,7940,18136,687,3,4,28,Publishing,"['Romance', 'Supernatural']","['Ante', 'Sseona']",0,0,1,2022-05-20,2023-12-11
Doctor Player,7.05,655,7942,7314,2481,9,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Yuin', 'Rikodaram']",1,1,0,2023-03-24,2023-12-11
Chronicles of the Demon Faction,7.05,396,7944,9883,1699,6,4,28,Publishing,"['Action', 'Fantasy']","['codezero', 'Molli']",0,1,0,2023-02-10,2023-12-11
The Cherry Project,7.05,577,7852,10981,1461,7,3,15,Finished,"['Drama', 'Romance', 'Sports']",['Takeuchi Naoko'],1,0,0,2000-05-09,2000-08-08
Sand Land,7.05,5397,7853,1932,9816,134,1,14,Finished,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",['Toriyama Akira'],3,0,0,1999-01-27,1999-04-28
Star Wars: Teikoku no Gyakushuu (Star Wars: The Empire Strikes Back),7.05,329,7854,15954,847,11,4,28,Finished,"['Action', 'Sci-Fi']","['Kasdan Lawrence', 'Lucas George', 'Kudou Toshiki']",0,0,0,1999-08-03,2000-09-02
Utopia's Avenger,7.05,261,7857,15987,844,14,7,28,Finished,"['Action', 'Romance', 'Sci-Fi', 'Supernatural']",['Oh Se Kwon'],0,0,0,2007-06-26,2009-04-25
Maniac Road,7.05,319,7860,17629,719,1,3,23,Finished,"['Comedy', 'Slice of Life']",['Kurihashi Shinsuke'],1,0,0,1997-08-26,2000-08-28
Blue Wars,7.05,171,7861,19661,597,4,2,6,Finished,"['Comedy', 'Romance']",['Nakamura Yoshiki'],1,0,0,2005-11-28,2006-06-28
Tubame Syndrome,7.05,852,7863,8372,2092,10,8,42,Finished,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",['Akane Kotetsu'],0,0,1,2005-05-09,2008-02-09
Kaze no Stigma: Kouen no Miko,7.05,1631,7866,4481,4303,22,2,11,Finished,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Supernatural']","['Nekomiya Kai', 'Yamato Takahiro']",1,0,0,1969-05-21,1970-07-29
Kanokon,7.05,4393,7868,1785,10631,82,9,47,Finished,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Yamaki Rin', 'Nishino Katsumi']",2,0,0,2003-07-08,2008-12-08
Imouto wa Shishunki (Younger Sister is in Puberty),7.05,668,7876,7870,2262,9,10,28,Finished,"['Comedy', 'Ecchi']",['Ujiie Tozen'],0,0,0,2005-05-10,2006-12-09
Tobenai Majo,7.05,584,7878,10107,1648,6,3,12,Finished,"['Comedy', 'Drama', 'Fantasy']",['Kawase Natsuna'],0,0,1,2002-10-09,2006-04-05
Celebrity Yuukoujouyaku (Celebrity Friendship Treaty),7.05,796,7881,10880,1482,2,1,4,Finished,"['Comedy', 'Drama', 'Romance']",['Kurahashi Erika'],1,0,0,2008-01-18,2011-10-21
Hameln no Violin-hiki: Shchelkunchik,7.05,124,7882,24148,404,1,8,28,Finished,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",['Watanabe Michiaki'],0,0,0,2007-07-25,2009-08-22
Amaenaide yo!! MS,7.05,374,7883,13926,1049,1,6,30,Finished,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",['Sogabe Toshinori'],1,0,0,2006-11-24,2010-03-25
Kämpfer,7.05,485,7884,7608,2358,34,15,64,Finished,"['Action', 'Comedy', 'Romance']","['Tsukiji Toshihiko', 'Senmu']",0,1,0,2001-12-28,2006-04-28
Run Day Burst,7.05,187,7889,22456,466,11,8,40,Finished,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",['Osada Yu-Ko'],0,0,0,1993-04-28,1994-04-27
Shikou Shounen,7.05,175,7893,20060,577,7,2,12,Finished,"['Drama', 'Romance']",['Fujiwara Kaoru'],0,0,0,2009-07-04,2023-12-11
Upotte!!,7.05,791,7894,5729,3272,58,4,28,Publishing,"['Action', 'Comedy']",['Tennouji Kitsune'],0,0,0,2009-10-09,2012-07-09
Itsuka Tenma no Kuro Usagi,7.05,1000,7895,5347,3539,12,6,32,Finished,"['Comedy', 'Horror', 'Romance', 'Supernatural']","['Kagami Takaya', 'Asahina Shiori']",0,0,1,2016-12-22,2023-12-11
Portrait,7.05,373,7979,17310,742,3,4,1,Finished,"['Boys Love', 'Drama']",['Natsume Kazuki'],1,0,0,2016-05-01,2017-10-01
Maya-san no Yofukashi (The Night Owl Witch),7.05,484,7980,10591,1541,10,3,39,Finished,"['Comedy', 'Slice of Life']",['Hotani Shin'],0,0,0,2017-11-22,2022-06-16
Hakozume: Koban Joshi no Gyakushuu (Police in a Pod),7.05,175,7981,9781,1720,17,23,207,Finished,"['Award Winning', 'Slice of Life']",['Yasu Miko'],1,0,0,2017-10-01,2023-12-11
Shiba-kun to Shepherd-san dj - Hug! Hug!,7.05,144,7982,28472,281,0,1,28,Finished,"['Boys Love', 'Slice of Life']",['Kiuchi Tatsuya'],0,0,0,2018-08-31,2023-12-11
Sono Mono. Nochi ni...: Kigatsuitara S-kyuu Saikyou!? Yuusha Wazu no Daibouken,7.05,2421,7983,2324,8318,57,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Naruse Yoshiki', 'NAHAaTO']",2,1,0,2018-10-05,2020-12-18
Soko no Koisuru Baito Shokun!,7.05,467,7985,13746,1069,3,1,4,Finished,"['Romance', 'Slice of Life']",['Mizuno Minami'],0,0,0,2019-04-25,2023-12-11
Madougushi Dahlia wa Utsumukanai (Magic Artisan Dahlia Wilts No More),7.05,480,7986,8381,2089,6,4,28,Publishing,"['Fantasy', 'Slice of Life']","['Sumikawa Megumi', 'Amagishi Hisaya']",0,0,0,2019-11-22,2023-12-11
"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",7.05,913,7987,5937,3147,13,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Ogino Ken', 'Kishima Kiraku']",1,0,0,2019-06-28,2023-12-11
"Soredemo Ai wo Chikaimasu ka? (Will You Still, Pledge Me Your Faithful Love?)",7.05,104,7988,22011,485,1,4,28,Publishing,"['Drama', 'Romance']",['Hagiwara Keiku'],1,0,0,2020-04-22,2023-12-11
Chuugaku Onaji dakedo Shabetta Koto Nai Tomodachi,7.05,453,7989,16962,766,3,4,1,Finished,"['Comedy', 'Romance']",['Maki Akihisa'],1,0,0,2018-05-25,2021-06-25
"Hazure Skill ""Mapping"" wo Te ni Shita Shounen wa Saikyou Party to Dungeon ni Idomu (Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party)",7.05,161,7990,20237,566,9,8,105,Finished,"['Action', 'Adventure', 'Fantasy']","['Mephisto', 'Kamono Udon']",1,0,0,2020-07-03,2023-12-11
Kajiya de Hajimeru Isekai Slow Life,7.05,1753,7991,3009,6561,16,4,28,Publishing,"['Adventure', 'Fantasy']","['Himori Yoshino', 'Tamamaru']",1,2,0,2020-09-24,2021-07-15
Usotsuki Android,7.05,353,7992,13524,1092,5,5,42,Finished,"['Comedy', 'Romance']",['Atou Rie'],1,0,0,2019-05-04,2020-04-11
Quanzhi Fashi (Versatile Mage),7.05,1276,7995,4862,3939,107,4,28,Publishing,"['Action', 'Fantasy']","['Luan', 'Yuedong Wenghua']",1,0,0,2020-10-15,2023-12-11
Hell Mode: Yarikomizuki no Gamer wa Hai Settei no Isekai de Musou suru (Hell Mode: The Hardcore Gamer Dominates in Another World with Garbage Balancing),7.05,1750,7996,3573,5507,21,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Tetta Enji', 'Hamuo']",2,0,1,2019-08-26,2021-11-22
Kawaisugiru Danshi ga Ouchi de Matteimasu (The Cutest Boy is Waiting Me at Home),7.05,239,7997,12374,1244,6,7,35,Finished,"['Romance', 'Slice of Life']",['Takase Waka'],0,0,0,2021-05-21,2023-12-11
Josou wo Yamerarenaku Naru Otokonoko no Hanashi,7.05,352,7998,12773,1185,7,4,28,Publishing,"['Boys Love', 'Comedy']",['Kobashiko'],1,0,0,2013-08-27,2023-12-11
Imomushi Shoujo to Comyushou Danshi (Caterpillar Girl and Bad Texter Boy),7.04,749,8000,9003,1899,26,1,8,Finished,"['Drama', 'Romance', 'Supernatural']",['Sanzou'],2,0,0,2017-06-23,2020-10-16
Daidokoro no Dragon (Dragon in the kitchen),7.04,498,8001,11146,1431,9,4,32,Finished,"['Slice of Life', 'Supernatural']","['Miyoshi Furumachi', 'Shimada Riri']",0,0,0,2018-06-24,2023-12-11
Yondome wa Iya na Shizokusei Majutsushi (The Death Mage),7.04,4858,8002,1046,16984,85,4,28,Publishing,"['Action', 'Drama', 'Fantasy']","['Densuke', 'Kojima Takehiro']",3,0,0,2018-10-18,2019-09-18
Luminous=Blue,7.04,1417,8003,6228,2982,24,2,10,Finished,"['Girls Love', 'Slice of Life']",['Iwami Kiyoko'],3,1,0,2019-04-02,2023-12-11
"Himesama ""Goumon"" no Jikan desu ('Tis Time for ""Torture,"" Princess)",7.04,2339,8004,2197,8763,69,4,28,Publishing,"['Comedy', 'Fantasy', 'Gourmet']","['Haruhara Robinson', 'Hirakei']",5,1,1,2019-04-26,2023-12-11
: Chocola & Vanilla (Nekopara),7.04,275,8006,13697,1074,23,1,7,Finished,"['Comedy', 'Slice of Life']",['Tam-U'],0,0,0,2019-06-15,2023-12-11
2.5-jigen no Ririsa (2.5 Dimensional Seduction),7.04,3333,8007,1363,13802,131,4,28,Publishing,"['Comedy', 'Ecchi']",['Hashimoto Yuu'],4,1,0,2019-11-26,2021-09-28
Senken Shounen Syndrome: sora Tanpenshuu,7.04,418,8009,13237,1126,3,1,5,Finished,"['Drama', 'Romance']",['sora'],0,0,0,2019-03-13,2020-10-13
"Maou-sama ni Shoukan sareta kedo Kotoba ga Tsuujinai. (I was summoned by the Demon King, but I can't understand language.)",7.04,3736,8013,2101,9139,49,4,32,Finished,"['Comedy', 'Fantasy', 'Romance']",['Utashima'],3,1,0,2018-07-06,2023-12-11
Yubisaki kara Honki no Netsujou: Charao Shouboushi wa Massugu na Me de Watashi wo Daita (Fire in His Fingertips: A Flirty Fireman Ravishes Me with His Smoldering Gaze),7.04,731,8014,6046,3082,56,4,28,Publishing,"['Romance', 'Ecchi']",['Kawano Tanishi'],0,1,0,2020-03-09,2023-12-11
Juujika no Rokunin,7.04,24291,8015,239,63984,1612,4,28,Publishing,"['Mystery', 'Suspense']",['Nakatake Shiryuu'],20,20,36,2019-08-20,2023-12-11
