Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Crystal☆Dragon,7.40,201,3690,14790,952,7,Unknown,Unknown,Publishing,"Feb  24, 1981 to ?","['Adventure', 'Drama', 'Fantasy', 'Romance']",[],"Ashibe, Yuuho (Story & Art)",0,"[0, 0, 0]"
The Prince's Cactus,7.40,2581,3691,3963,"4,936",48,2,9,Finished,2008 to  2009,"['Drama', 'Romance']",[],"Misha (Art), Xu Ci (Story)",3,"[2, 1, 0]"
Emma,7.40,153,3692,18671,651,16,2,Unknown,Finished,"Mar  22, 2005 to Oct  29, 2005","['Romance', 'Slice of Life']",[],"Mori, Kaoru (Art), Kumi, Saori (Story)",0,"[0, 0, 0]"
Koe de Oshigoto!,7.40,3822,3693,1606,"11,877",154,10,60,Finished,"May  26, 2008 to Apr  26, 2013","['Comedy', 'Romance', 'Ecchi']","['Otaku Culture', 'School', 'Showbiz']","Konno, Azure (Story & Art)",8,"[8, 0, 0]"
Sakura-hime KadenSakura Hime: The Legend of Princess Sakura,7.40,4725,3694,1500,"12,693",244,12,55,Finished,"Dec  1, 2008 to Dec  1, 2012","['Action', 'Drama', 'Fantasy', 'Romance']","['Historical', 'Mythology']","Tanemura, Arina (Story & Art)",7,"[7, 0, 0]"
Kongou Banchou,7.40,3478,3695,1992,"9,466",118,12,115,Finished,"Oct  24, 2007 to Mar  10, 2010","['Action', 'Comedy', 'Supernatural']",[],"Suzuki, Nakaba (Story & Art)",9,"[9, 0, 0]"
Katakoi Triangle,7.40,2555,3696,3615,"5,426",21,2,10,Finished,"Feb  9, 2008 to Aug  10, 2009",[],[],"Amano, Shinobu (Story & Art)",2,"[2, 0, 0]"
Fate/kaleid liner Prisma☆Illya 2wei!,7.40,4253,3697,2268,"8,492",75,5,31,Finished,"Apr  26, 2009 to Mar  26, 2012","['Action', 'Comedy', 'Fantasy']",[],"Hiroyama, Hiroshi (Story & Art)",0,"[0, 0, 0]"
Baka to Test to ShoukanjuuBaka & Test: Summon the Beasts,7.40,2147,3698,2433,"7,986",42,15,84,Finished,"Apr  25, 2009 to Jul  26, 2016","['Comedy', 'Romance']","['Love Polygon', 'School']","Inoue, Kenji (Story), Yumeuta (Art), Mattaku, Mosuke (Art)",0,"[0, 0, 0]"
Kaizoku to NingyoPirate and Mermaid,7.40,462,3699,9329,"1,814",7,Unknown,Unknown,Publishing,"Dec  19, 2007 to ?","['Adventure', 'Boys Love', 'Fantasy', 'Romance']",[],"Kiuchi, Tatsuya (Story & Art)",1,"[0, 1, 0]"
Ane Doki,7.40,19106,3700,490,"34,004",592,3,26,Finished,"Jul  6, 2009 to Jan  18, 2010","['Comedy', 'Romance', 'Ecchi']",[],"Kawashita, Mizuki (Story & Art)",13,"[12, 1, 0]"
Gisèle Alain,7.40,722,3701,5388,"3,497",32,5,34,On Hiatus,"Jun  15, 2009 to Aug  11, 2014",[],[],"Sui, Kasai (Story & Art)",1,"[0, 1, 0]"
Migawari Hakushaku no Bouken,7.40,1555,3702,4641,"4,133",16,6,32,Finished,"Jun  10, 2008 to Feb  24, 2012","['Adventure', 'Drama', 'Mystery', 'Romance']","['Crossdressing', 'Historical']","Shibata, Isuzu (Art), Seike, Mimori (Story)",1,"[0, 1, 0]"
Cuticle Tantei InabaCuticle Detective Inaba,7.40,484,3703,6927,"2,631",40,19,127,Finished,"Aug  18, 2007 to Mar  18, 2017","['Action', 'Comedy', 'Mystery', 'Supernatural']",[],Mochi (Story & Art),1,"[1, 0, 0]"
Nishi no Yoki MajoThe Good Witch of the West,7.39,397,3780,10897,"1,474",19,7,39,Finished,"Dec  29, 2003 to May  30, 2007","['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",[],"Ogiwara, Noriko (Story), Momokawa, Haruhiko (Art)",0,"[0, 0, 0]"
Tokage OujiThe Lizard Prince,7.39,1433,3781,6292,"2,946",9,2,11,Finished,2003 to  2004,"['Comedy', 'Fantasy', 'Romance']",[],"Asuka, Izumi (Story & Art)",0,"[0, 0, 0]"
Chuuka Ichiban!,7.39,522,3782,11456,"1,377",10,5,36,Finished,"Sep  27, 1995 to Oct  19, 1996","['Comedy', 'Gourmet']",[],"Ogawa, Etsushi (Story & Art)",0,"[0, 0, 0]"
BxB Brothers,7.39,929,3783,7286,"2,483",3,10,70,Finished,2001 to  2004,"['Comedy', 'Drama', 'Romance']",[],"Ukyou, Ayane (Story & Art)",2,"[1, 1, 0]"
Hanzou no MonPath of the Assassin,7.39,447,3784,7654,"2,337",8,19,62,Finished,1978 to  1984,[],"['Historical', 'Martial Arts']","Koike, Kazuo (Story), Kojima, Goseki (Art)",3,"[2, 1, 0]"
Hiiro no Isu,7.39,1016,3785,7161,"2,527",16,3,10,Finished,"Dec  8, 2001 to Jun  10, 2004","['Drama', 'Fantasy']",[],"Midorikawa, Yuki (Story & Art)",2,"[2, 0, 0]"
Cat's Eye,7.39,1020,3786,5556,"3,394",38,18,135,Finished,"Jun  16, 1981 to Jan  15, 1985","['Action', 'Comedy', 'Drama', 'Mystery', 'Romance']",[],"Hojo, Tsukasa (Story & Art)",1,"[1, 0, 0]"
